title,desc,category,website,email,tel
jinjer 株式会社,「ジンジャー」は、人事労務・勤怠管理・給与計算などの人事の定型業務から人事評価・eラーニングといったタレントマネジメントまで、1つにまとめて管理できるクラウド型人事労務システムです。 人事情報を1つに統合した「Core HRデータベース」によって、勤怠集計からの給与計算や、社会保険手続きに関する帳票類の入力といった定型業務の効率化・自動化を支援します。 また、それぞれのシステムのデータベースがつながっているため、データベースの自動反映や役割変更に応じた各システムへの権限変更の自動化などを実現します。,"人事管理システム, 勤怠管理システム, 給与計算システム, 人事評価システム, 労務管理システム, その他 労務サービス, HRテクノロジー, その他 福利厚生サービス, 経費精算システム",https://hcm-jinjer.com/,,
株式会社 チームスピリット,"私たちTeamSpiritは、「すべての人を、創造する人に。」というミッションを掲げ、創造性豊かでイキイキと働ける持続可能な社会を創出することを目指しています。2011年にローンチした「チームスピリット」シリーズは、業務の効率化にとどまらず、AIを活用する時代においても人々を貴重な資本と位置づけ、創造的な働き方をサポートする働き方改革プラットフォームとして多くの方々にご活用いただいています。 「チームスピリット」は、使いやすいUI/UXを通じて活動データを一元的に登録し、勤怠管理、経費精算、工数管理などに活用することができます。また、これらのデータを組み合わせて分析することで企業の内部統制を実現し、働く人々に価値のある情報を提供できます。このような知的生産の促進と従業員のウェルビーイング向上の取り組みは、お客様企業の成功の源泉と考え、継続的に進化させてまいります。。現在までに約1,800社、52万人以上のお客様にご利用いただいており、「データの見える化」で、企業の内部統制強化や労働生産性向上をご実感いただいております。","HR EXPO （人事労務・教育・採用）, 社内申請・ワークフロー, その他 DX・働き方改革関連サービス, 人事管理システム, 勤怠管理システム, 労務管理システム",https://www.teamspirit.com/,mailto:mk@teamspirit.com,tel:03-4577-7510
株式会社 ユーキャン,法人従業員向けの資格取得・リスキリング支援 通信教育講座、eラーニング、研修の提供,"HR EXPO （人事労務・教育・採用）, 社員研修サービス, リスキリング支援, 職種別研修, 階層別研修, デジタル人材育成, グローバル人材育成・採用, 人材育成コンサルティング, チームビルディング支援, コーチング, その他 教育・人材育成サービス",https://www.u-can.co.jp/houjin/,mailto:sales-rep@u-can.co.jp,tel:03-3377-1181
アクアクララ 株式会社,清涼飲料水製造・宅配事業,"福利厚生 EXPO, PR EXPO",,,
株式会社 アスマーク,Humapは調査業界で20年の実績を持つアスマークから生まれたHRTechサービスです。 Humapでは「従業員総活躍」を理念に、6つのサービスを提供しています。 従業員ひとりひとりが”自分らしく”活躍できる、そんな環境づくりをしたい方はぜひお立ち寄りください。 ①在席管理＆コミュニケーション活性化ツール「せきなび」 ②コンプライアンス＆ハラスメント対策「CHeck」 ③従業員満足度調査「ASQ」 ④オンラインサンクスカード「Smileボーナス」 ⑤業務効率化「RPA-Work's HR」 ⑥モチベーション管理「Pulsign」,"HR EXPO （人事労務・教育・採用）, テレワーク・ハイブリッドワーク支援, その他 DX・働き方改革関連サービス, エンゲージメントツール, 職種別研修, 階層別研修, オンボーディングツール, 従業員エンゲージメント向上, 従業員意識調査, コミュニケーションツール, 離職防止, その他 福利厚生サービス, 従業員エンゲージメント",,,
AME&Company 株式会社,離職対策、エンゲージメント、多様性の促進など人的資本の課題に対して、「HR pentest」は従業員との対話（面談）を活用することで、個人の悩み事も組織の課題もデータドリブンに分析することが可能なシステムです。 自社にどんな課題があって、どんな施策を打つべきか、をデータに基づいて意思決定したい企業様におすすめです。,"HR EXPO （人事労務・教育・採用）, その他 DX・働き方改革関連サービス, HRテクノロジー, ピープルアナリティクス, エンゲージメントツール, その他 採用サービス, 従業員エンゲージメント向上, 従業員意識調査, コミュニケーションツール, 離職防止, 従業員エンゲージメント",,,
EAGLYS 株式会社,EAGLYSは、秘密計算とAI設計技術によって、様々なインダストリーデータの活用を促進しています。 「秘密計算を中心としたセキュアコンピューティング技術」を生かしたデータセキュリティ/データ利活用サービス、「AIアルゴリズム設計・解析技術」によるAI開発/解析サービスを提供。 人事領域向けソリューション「EAGLYS Bianca」は、従業員の機微な情報であるために活用が難しいとされてきたHRデータに「秘密計算」を適応して分析することで、働く人の「真実」に基づく持続可能な人的資本形成を支援するプロダクトです。 創業より研究・社会実装を続けてきた「秘密計算」など各種技術を応用して、安全に労力をかけることなく、働く人にまつわる機微なデータの活用を加速させます。信頼性の高いデータを得ることで、洞察を得る仕組みを提供します。 （HP：https://eaglys.co.jp/about-us/）,"HR EXPO （人事労務・教育・採用）, HRテクノロジー, チームビルディング支援, オンボーディングツール, 従業員エンゲージメント向上, 離職防止",,,
イージーソフト 株式会社（ハーモス経費）,イージーソフト株式会社は、2000年の設立以来、経費精算領域の専門企業として20年以上の実績を有する経費精算システムのパイオニアです。 「HRMOS経費」は、社内で発生する交通費精算や立替経費精算、請求書処理の効率化を実現するサービスです。基本プランに豊富な機能を搭載しており、申請者、承認者、経理担当者の業務負荷を大幅に削減し、経理DXを促進します。電子帳簿保存法・インボイス制度に完全対応しています。 2022年3月より株式会社ビズリーチの子会社となり、2022年11月より「HRMOS」シリーズとして「HRMOS経費」の提供を開始し、更に使いやすいサービスの開発や、サポート体制の拡充を推進しています。 ■「HRMOS（ハーモス）」シリーズについて ビズリーチが提供する、採用から入社後の活躍までの人事業務支援と従業員情報の一元化・可視化により、データに基づく人財活用を実現するサービスです。経費精算システム「HRMOS経費」、勤怠管理システム「HRMOS勤怠」、労務給与管理システム「HRMOS労務給与」、採用管理システム「HRMOS採用」、人財活用システム「HRMOSタレントマネジメント」、を展開しています。,"HR EXPO （人事労務・教育・採用）, 会計・財務 EXPO, 勤怠管理システム, 経費精算システム",,,
Wevox（ウィボックス）,アトラエは、「世界中の人々を魅了する会社を創る」というビジョンを掲げ、2017年にWevoxサービスを開発しました。 Wevoxは、エンゲージメントの測定と向上を支援する組織力向上プラットフォームです。 このサービスは、組織のカルチャーや個人のパーソナリティ特性を可視化し、組織のパフォーマンスを高めるための様々なプロセスや活動をサポートします。 「自分の組織は自分たちの声でつくる。そんな組織づくりを信じています」 私たちは、あなたが活き活きと働くことが世界を変えると信じています。 あなたのチームや組織は、あなた自身の声だからこそ作り続けられるのです。 自分たちの声に耳を傾け、その声をもとに変革を実現することができるからです。 もちろん、自分たちで組織やチームを作り上げることは簡単なことではありません。 だからこそ、私たちはあなたと共に伴走し、チームが「組織力」を自ら高め続けられるようサポートしてきました。 活き活きと働くあなたが持つエネルギーや可能性、そのような人が集うチームから生まれるアウトプットが、あなた自身も、あなたの周りも豊かにしていくと信じています。 Wevoxは、「私たちの声で組織を良くしていこう」というメッセージを込めたサービスです。 私たちと一緒に、自分たちの声から始まるチームづくりを進めていきましょう。,"働き方改革 EXPO, HR EXPO （人事労務・教育・採用）, 健康経営 EXPO, 特別企画 中小企業支援ワールド, テレワーク・ハイブリッドワーク支援, チャットボット・ナレッジ共有, その他 DX・働き方改革関連サービス, HRテクノロジー, ピープルアナリティクス, エンゲージメントツール, 社員研修サービス, チームビルディング支援, オンボーディングツール, 従業員エンゲージメント向上, 従業員意識調査, コミュニケーションツール, 離職防止, メンタルヘルスケア/ストレスチェック, 従業員エンゲージメント",,,
株式会社 Willings,インド工科大学全23校から企業にマッチするエンジニアをインターンシップ経由で採用が可能です。採用支援だけではなく、永続的な同校からの採用ルートを確立し、AI、データサイエンス、ブロックチェーンなどの最先端IT技術領域を得意とする人材確保に今後困らない体制作りを支援させていただきます。 インターンシップ中にも弊社スタッフが並走し、コミュニケーションの活性化、異文化理解、雇用体制の整備を推し進めます。また外国人IT人材の入社時に負担となる、各種来日手続きや来日後の生活立上げなどのサポートも全てワンストップで対応いたします。,"HR EXPO （人事労務・教育・採用）, ハイクラス人材採用, 採用代行・コンサルティング, 外国人雇用サポート, その他 採用サービス",,,
